Feature
1,GRCh38_ENSG00000085999
2,GRCh38_ENSG00000163009
3,GRCh38_ENSG00000101447
4,GRCh38_ENSG00000169607
5,GRCh38_ENSG00000249679
6,GRCh38_ENSG00000154277
7,GRCh38_ENSG00000152253
8,GRCh38_ENSG00000165891
9,GRCh38_ENSG00000284681
10,GRCh38_ENSG00000236081
11,GRCh38_ENSG00000088882
12,GRCh38_ENSG00000259289
13,GRCh38_ENSG00000279668
14,GRCh38_ENSG00000127074
15,GRCh38_ENSG00000035499
16,GRCh38_ENSG00000271133
17,GRCh38_ENSG00000187855
18,GRCh38_ENSG00000147862
19,GRCh38_ENSG00000178752
20,GRCh38_ENSG00000214688
21,GRCh38_ENSG00000161888
22,GRCh38_ENSG00000105270
23,GRCh38_ENSG00000147488
24,GRCh38_ENSG00000211967
25,GRCh38_ENSG00000188676
26,GRCh38_ENSG00000177692
27,GRCh38_ENSG00000100228
28,GRCh38_ENSG00000233922
29,GRCh38_ENSG00000267270
30,GRCh38_ENSG00000267130
31,GRCh38_ENSG00000198754
32,GRCh38_ENSG00000112210
33,GRCh38_ENSG00000248373
34,GRCh38_ENSG00000276289
35,GRCh38_ENSG00000072571
36,GRCh38_ENSG00000179914
37,GRCh38_ENSG00000241135
38,GRCh38_ENSG00000151967
39,GRCh38_ENSG00000262528
40,GRCh38_ENSG00000249096
41,GRCh38_ENSG00000184661
42,GRCh38_ENSG00000259775
43,GRCh38_ENSG00000224220
44,GRCh38_ENSG00000135094
45,GRCh38_ENSG00000227028
46,GRCh38_ENSG00000120256
47,GRCh38_ENSG00000077063
48,GRCh38_ENSG00000152766
49,GRCh38_ENSG00000117245
50,GRCh38_ENSG00000158402
51,GRCh38_ENSG00000151376
52,GRCh38_ENSG00000253293
53,GRCh38_ENSG00000188365
54,GRCh38_ENSG00000254827
55,GRCh38_ENSG00000148680
56,GRCh38_ENSG00000178445
57,GRCh38_ENSG00000130203
58,GRCh38_ENSG00000230084
59,GRCh38_ENSG00000112984
60,GRCh38_ENSG00000111012
61,GRCh38_ENSG00000259469
62,GRCh38_ENSG00000227740
63,GRCh38_ENSG00000243696
64,GRCh38_ENSG00000198959
65,GRCh38_ENSG00000251442
66,GRCh38_ENSG00000282608
67,GRCh38_ENSG00000188596
68,GRCh38_ENSG00000166866
69,GRCh38_ENSG00000198892
70,GRCh38_ENSG00000170819
71,GRCh38_ENSG00000178538
72,GRCh38_ENSG00000180316
73,GRCh38_ENSG00000162881
74,GRCh38_ENSG00000133216
75,GRCh38_ENSG00000121211
76,GRCh38_ENSG00000110693
77,GRCh38_ENSG00000187474
78,GRCh38_ENSG00000250274
79,GRCh38_ENSG00000179593
80,GRCh38_ENSG00000268518
81,GRCh38_ENSG00000253958
82,GRCh38_ENSG00000155719
