Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
GRCh38_ENSG00000238009,GRCh38_AL627309.1,0.0051698835309044715,0.41944929044101276,0.886706814262002,0.003332081764354189,-0.3336370330815166,0.8967308227671513,0.0,3.1954101277222575,1.0
GRCh38_ENSG00000239945,GRCh38_AL627309.3,0.0,-1.3175163037251938,0.6611122223003871,0.0016660408821770945,1.40332856108469,0.6486791948504967,0.0,5.002765049779861,1.0
GRCh38_ENSG00000237491,GRCh38_AL669831.5,0.05686871883994919,0.04505377565951463,1.0,0.05664538999402122,0.04075848169998153,1.0,0.0,-0.30101569839724096,1.0
GRCh38_ENSG00000177757,GRCh38_FAM87B,0.0,-1.3175163037251938,0.6611122223003871,0.0016660408821770945,1.40332856108469,0.6486791948504967,0.0,5.002765049779861,1.0
GRCh38_ENSG00000225880,GRCh38_LINC00115,0.03489671383360519,0.3199136168900987,0.7058219378927658,0.02832269499701061,-0.23410135953060163,0.8698148166972627,0.0,0.5109119534501874,1.0
GRCh38_ENSG00000230368,GRCh38_FAM41C,0.02972683030270071,0.2674461969959623,0.8435781385987461,0.02499061323265642,-0.18163393963646612,0.9451526274882976,0.0,0.7173628309176134,1.0
GRCh38_ENSG00000230699,GRCh38_AL645608.3,0.0,-1.3175163037251938,0.6611122223003871,0.0016660408821770945,1.40332856108469,0.6486791948504967,0.0,5.002765049779861,1.0
GRCh38_ENSG00000241180,GRCh38_AL645608.5,0.0,-1.3175163037251938,0.6611122223003871,0.0016660408821770945,1.40332856108469,0.6486791948504967,0.0,5.002765049779861,1.0
GRCh38_ENSG00000188976,GRCh38_NOC2L,0.29209841949610266,0.5090321835657214,0.13976720499534379,0.20658906938995972,-0.4763772051975983,0.187530097900977,0.14675482371059217,-0.45256217052469894,1.0
GRCh38_ENSG00000187961,GRCh38_KLHL17,0.01809459235816565,0.004411791162168832,1.0,0.01832644970394804,0.08140046619732733,1.0,0.0,1.3023253316387695,1.0
